task_id,task_name,start_date,end_date,duration_days,level,element_type,ifc_class,element_count,hazard_state,predecessors,description
92,Level 05 보 콘크리트 타설,2024-12-30,2024-12-30,1,Level_05,보,IfcBeam,8,edge_open,91.0,"보 콘크리트 타설 (8개, 8개/일)"
93,Level 05 보 양생,2024-12-31,2025-01-05,6,Level_05,양생,IfcBeam,0,,92.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
94,Level 05 슬래브 거푸집+동바리,2025-01-06,2025-01-07,2,Level_05,슬래브,IfcSlab,0,opening_open,93.0,"거푸집+동바리 설치 (4개, 3개/일)"
95,Level 05 슬래브 철근배근,2025-01-08,2025-01-08,1,Level_05,슬래브,IfcSlab,0,opening_open,94.0,"슬래브 철근 배근 (4개, 4개/일)"
96,Level 05 슬래브 콘크리트 타설,2025-01-09,2025-01-09,1,Level_05,슬래브,IfcSlab,4,opening_open,95.0,"슬래브 콘크리트 타설 (4개, 8개/일)"
97,Level 05 슬래브 양생,2025-01-10,2025-01-13,4,Level_05,양생,IfcSlab,0,,96.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)"
98,Level 05 벽체 철근배근,2025-01-14,2025-01-19,6,Level_05,벽체,IfcWall,0,edge_open,97.0,"벽체 철근 배근 (51개, 10개/일)"
99,Level 05 벽체 거푸집,2025-01-20,2025-01-23,4,Level_05,벽체,IfcWall,0,edge_open,98.0,"벽체 거푸집 설치 (51개, 14개/일)"
10001,Level 05 벽체 콘크리트 타설 (Day 1/3),2025-01-24,2025-01-24,1,Level_05,벽체,IfcWall,25,edge_open,99.0,"벽체 콘크리트 타설 (51개, 25개/일)"
10002,Level 05 벽체 콘크리트 타설 (Day 2/3),2025-01-25,2025-01-25,1,Level_05,벽체,IfcWall,25,edge_open,10001.0,"벽체 콘크리트 타설 (51개, 25개/일)"
10003,Level 05 벽체 콘크리트 타설 (Day 3/3),2025-01-26,2025-01-26,1,Level_05,벽체,IfcWall,1,edge_open,10002.0,"벽체 콘크리트 타설 (51개, 25개/일)"
101,Level 05 벽체 양생,2025-01-27,2025-02-01,6,Level_05,양생,IfcWall,0,,10003.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
102,Level 05 계단 설치,2025-02-02,2025-02-02,1,Level_05,계단,IfcStair,1,edge_protected,101.0,"계단 설치 (1개, 2개/일)"
103,Level 05 난간 설치,2025-02-03,2025-02-03,1,Level_05,난간,IfcRailing,3,edge_protected,102.0,"난간 설치 (3개, 10개/일)"
104,Level 05 문 설치,2025-02-04,2025-02-04,1,Level_05,문,IfcDoor,10,opening_covered,103.0,"문 설치 (10개, 15개/일)"
105,Roof 슬래브 거푸집+동바리,2025-02-05,2025-02-05,1,Roof,슬래브,IfcSlab,0,opening_open,104.0,"거푸집+동바리 설치 (3개, 3개/일)"
106,Roof 슬래브 철근배근,2025-02-06,2025-02-06,1,Roof,슬래브,IfcSlab,0,opening_open,105.0,"슬래브 철근 배근 (3개, 4개/일)"
107,Roof 슬래브 콘크리트 타설,2025-02-07,2025-02-07,1,Roof,슬래브,IfcSlab,3,opening_open,106.0,"슬래브 콘크리트 타설 (3개, 8개/일)"
108,Roof 슬래브 양생,2025-02-08,2025-02-11,4,Roof,양생,IfcSlab,0,,107.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)"
109,Roof 문 설치,2025-02-12,2025-02-12,1,Roof,문,IfcDoor,4,opening_covered,108.0,"문 설치 (4개, 15개/일)"
